 Variables=x,y,r,u,t                                                             
 zone t=all F=block, i=          802  j=           12
   0.629500D+01   0.630500D+01   0.631500D+01
   0.632500D+01   0.633500D+01   0.634500D+01
   0.635500D+01   0.636500D+01   0.637500D+01
   0.638500D+01   0.639500D+01   0.640500D+01
   0.641500D+01   0.642500D+01   0.643500D+01
   0.644500D+01   0.645500D+01   0.646500D+01
   0.647500D+01   0.648500D+01   0.649500D+01
   0.650500D+01   0.651500D+01   0.652500D+01
   0.653500D+01   0.654500D+01   0.655500D+01
   0.656500D+01   0.657500D+01   0.658500D+01
   0.659500D+01   0.660500D+01   0.661500D+01
   0.662500D+01   0.663500D+01   0.664500D+01
   0.665500D+01   0.666500D+01   0.667500D+01
   0.668500D+01   0.669500D+01   0.670500D+01
   0.671500D+01   0.672500D+01   0.673500D+01
   0.674500D+01   0.675500D+01   0.676500D+01
   0.677500D+01   0.678500D+01   0.679500D+01
   0.680500D+01   0.681500D+01   0.682500D+01
   0.683500D+01   0.684500D+01   0.685500D+01
   0.686500D+01   0.687500D+01   0.688500D+01
   0.689500D+01   0.690500D+01   0.691500D+01
   0.692500D+01   0.693500D+01   0.694500D+01
   0.695500D+01   0.696500D+01   0.697500D+01
   0.698500D+01   0.699500D+01   0.700500D+01
   0.701500D+01   0.702500D+01   0.703500D+01
   0.704500D+01   0.705500D+01   0.706500D+01
   0.707500D+01   0.708500D+01   0.709500D+01
   0.710500D+01   0.711500D+01   0.712500D+01
   0.713500D+01   0.714500D+01   0.715500D+01
   0.716500D+01   0.717500D+01   0.718500D+01
   0.719500D+01   0.720500D+01   0.721500D+01
   0.722500D+01   0.723500D+01   0.724500D+01
   0.725500D+01   0.726500D+01   0.727500D+01
   0.728500D+01   0.729500D+01   0.730500D+01
   0.731500D+01   0.732500D+01   0.733500D+01
   0.734500D+01   0.735500D+01   0.736500D+01
   0.737500D+01   0.738500D+01   0.739500D+01
   0.740500D+01   0.741500D+01   0.742500D+01
   0.743500D+01   0.744500D+01   0.745500D+01
   0.746500D+01   0.747500D+01   0.748500D+01
   0.749500D+01   0.750500D+01   0.751500D+01
   0.752500D+01   0.753500D+01   0.754500D+01
   0.755500D+01   0.756500D+01   0.757500D+01
   0.758500D+01   0.759500D+01   0.760500D+01
   0.761500D+01   0.762500D+01   0.763500D+01
   0.764500D+01   0.765500D+01   0.766500D+01
   0.767500D+01   0.768500D+01   0.769500D+01
   0.770500D+01   0.771500D+01   0.772500D+01
   0.773500D+01   0.774500D+01   0.775500D+01
   0.776500D+01   0.777500D+01   0.778500D+01
   0.779500D+01   0.780500D+01   0.781500D+01
   0.782500D+01   0.783500D+01   0.784500D+01
   0.785500D+01   0.786500D+01   0.787500D+01
   0.788500D+01   0.789500D+01   0.790500D+01
   0.791500D+01   0.792500D+01   0.793500D+01
   0.794500D+01   0.795500D+01   0.796500D+01
   0.797500D+01   0.798500D+01   0.799500D+01
   0.800500D+01   0.000000D+00   0.500000D-02
   0.150000D-01   0.250000D-01   0.350000D-01
   0.450000D-01   0.550000D-01   0.650000D-01
   0.750000D-01   0.850000D-01   0.950000D-01
   0.105000D+00   0.115000D+00   0.125000D+00
   0.135000D+00   0.145000D+00   0.155000D+00
   0.165000D+00   0.175000D+00   0.185000D+00
   0.195000D+00   0.205000D+00   0.215000D+00
   0.225000D+00   0.235000D+00   0.245000D+00
   0.255000D+00   0.265000D+00   0.275000D+00
   0.285000D+00   0.295000D+00   0.305000D+00
   0.315000D+00   0.325000D+00   0.335000D+00
